渠道名称,仓库,国家,运输方式,计价类型,重量单价_元_per_kg,每立方价格_元_per_cbm,固定费_元,报关费_元,预估时效,生效日期
AGL-AMP-普船,美西,美国,普船,体积计价,,980,539.6,350,35-40,20260326
AGL-AMP-快船,美西,美国,快船,体积计价,,959.58,539.6,350,25-30,20260326
AGL-AMP-普船,美东,美国,普船,体积计价,,786,539.6,350,55-60,20260326
AGL-SMP-快船,美西,美国,快船,体积计价,,418.33,255.6,350,25-30,20260326
AGL-SMP-快船,美中南,美国,快船,体积计价,,378.46,255.6,350,25-30,20260326
AGL-SMP-普船,美西,美国,普船,体积计价,,350.32,255.6,350,35-40,20260326
AGL-SMP-普船,美中南,美国,普船,体积计价,,318.53,255.6,350,35-40,20260326
AGL-SMP-普船,美东北,美国,普船,体积计价,,512.73,255.6,350,55-60,20260326
AGL-SMP-普船,美中北,美国,普船,体积计价,,512.73,255.6,350,35-40,20260326
AGL-SMP-普船,美东南,美国,普船,体积计价,,424.94,255.6,350,55-60,20260326
AGL-AWD-普船,美西,美国,普船,体积计价,,355.49,539.6,350,35-40,20260326
AGL-AWD-普船,美东,美国,普船,体积计价,,355.49,539.6,350,55-60,20260326
AGL-AWD-普船,美中南,美国,普船,体积计价,,"1,024.41",539.6,350,35-40,20260326
AGL-AWD-普船,美西托盘,美国,普船,体积计价,,355.49,539.6,350,35-40,20260326
AGL-AWD-普船,美东南,美国,普船,体积计价,,614.88,539.6,350,55-60,20260326
大森林-加拿大普船卡派,YVR1,加拿大,普船,重量计价,6.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YVR2,加拿大,普船,重量计价,6.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YVR3,加拿大,普船,重量计价,6.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YVR4,加拿大,普船,重量计价,6.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YXX1,加拿大,普船,重量计价,6.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YXX2,加拿大,普船,重量计价,6.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YYC1,加拿大,普船,重量计价,5.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YYC4,加拿大,普船,重量计价,5.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YYC6,加拿大,普船,重量计价,5.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YEG1,加拿大,普船,重量计价,5.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YEG2,加拿大,普船,重量计价,5.4,,,150,30-40,20260326
大森林-加拿大普船卡派,YYZ1,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,YYZ3,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,YYZ4,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,YYZ6,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,YYZ7,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,YYZ9,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,YDC5,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,PRTO,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,YOO1,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,YHM1,加拿大,普船,重量计价,5.5,,,150,35-45,20260326
大森林-加拿大普船卡派,YXU1,加拿大,普船,重量计价,5.7,,,150,35-45,20260326
大森林-加拿大普船卡派,XYY1,加拿大,普船,重量计价,5.7,,,150,35-45,20260326
大森林-加拿大普船卡派,YGK1,加拿大,普船,重量计价,5.7,,,150,35-45,20260326
大森林-加拿大普船卡派,YOW1,加拿大,普船,重量计价,5.7,,,150,35-45,20260326
大森林-加拿大普船卡派,YOW3,加拿大,普船,重量计价,5.7,,,150,35-45,20260326
堡森-英国自税海卡递延,BHX4,英国,普船,体积计价,,840,300.0,350,33-45,20260326
